trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-123.82311044628047,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-71.27928029881852,"{0: 14, 1: 5, 2: 6, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-71.71178448169896,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,13,-68.17370104108576,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-101.78477068435268,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-194.24866533921232,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-98.98314590961886,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,13,-16.87079226462152,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,15,-33.743321539017,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-234.37663478912708,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 5}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",35,2,-102.34157642413616,"{0: 23, 1: 1, 2: 7, 3: 1, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-127.17048349230035,"{0: 22, 1: 0, 2: 4, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,31.91878032626665,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,12,-29.247311311864305,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-46.11163571138143,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-137.46375619187194,"{0: 22, 1: 1, 2: 2, 3: 3, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-32.688718714244935,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,3,0.8838160353444156,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-60.94446361597521,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",35,20,25.622949181894597,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,0,-4.471989014772446,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,0,17.547335846716173,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-6.77083119341999,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",30,14,26.349624383864622,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,0,25.245358387062854,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-41.16284025503539,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,15,-23.755803179271936,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,0,22.825713014989276,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,0,-19.169575477583333,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-70.74578254322526,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
