trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.95, 'e': 0.5128205128205129}",25,0,-71.12749581789089,"{0: 16, 1: 4, 2: 3, 3: 2, 4: 0}",0
2,False,"{'a': 0.95, 'e': 0.1694915254237288}",20,0,-222.12511276687968,"{0: 8, 1: 0, 2: 7, 3: 2, 4: 3}",0
3,False,"{'a': 0.95, 'e': 0.08438818565400844}",25,0,-119.01620409756727,"{0: 16, 1: 2, 2: 3, 3: 3, 4: 1}",0
4,False,"{'a': 0.95, 'e': 0.050505050505050504}",25,2,-104.17732067097798,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 2}",1
5,False,"{'a': 0.95, 'e': 0.03361344537815126}",30,0,-121.95558994688957,"{0: 22, 1: 1, 2: 3, 3: 2, 4: 2}",0
6,False,"{'a': 0.95, 'e': 0.023980815347721823}",30,0,-97.29658879018541,"{0: 24, 1: 1, 2: 2, 3: 1, 4: 2}",0
7,False,"{'a': 0.95, 'e': 0.017969451931716084}",20,6,10.191889654293913,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.95, 'e': 0.013966480446927375}",30,0,-57.8544947418987,"{0: 23, 1: 4, 2: 1, 3: 1, 4: 1}",0
9,False,"{'a': 0.95, 'e': 0.011166945840312675}",20,0,-12.343108149494238,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
10,False,"{'a': 0.95, 'e': 0.0091324200913242}",30,1,-34.587786063307874,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 1}",1
11,False,"{'a': 0.95, 'e': 0.0076074553062000765}",25,0,-37.79783746308334,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
12,False,"{'a': 0.95, 'e': 0.006435006435006435}",25,0,-56.50665055652601,"{0: 19, 1: 2, 2: 1, 3: 3, 4: 0}",0
13,False,"{'a': 0.95, 'e': 0.005514199062586159}",20,0,-88.77314285190558,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
14,False,"{'a': 0.95, 'e': 0.004777830864787386}",30,0,-126.59465859603908,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 4}",0
15,False,"{'a': 0.95, 'e': 0.0041797283176593526}",30,0,-78.238438827677,"{0: 23, 1: 2, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.95, 'e': 0.003687315634218289}",25,0,-145.03380411189966,"{0: 19, 1: 2, 2: 0, 3: 0, 4: 4}",0
17,False,"{'a': 0.95, 'e': 0.003277076847452073}",20,0,-41.518152429003294,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.95, 'e': 0.002931691586045148}",25,3,-57.870455722474446,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 2}",1
19,False,"{'a': 0.95, 'e': 0.0026381743833267376}",30,19,-30.69943185465854,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.95, 'e': 0.002386634844868735}",25,0,-9.582688371822526,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
21,False,"{'a': 0.95, 'e': 0.0021694326933506887}",25,14,22.759456220023935,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.95, 'e': 0.001980590215884334}",20,0,12.942353592126917,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
23,False,"{'a': 0.95, 'e': 0.0018153762367250613}",25,10,-18.93568489009656,"{0: 13, 1: 0, 2: 0, 3: 2, 4: 0}",1
24,False,"{'a': 0.95, 'e': 0.0016700066800267202}",20,0,-34.214554405275315,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
25,False,"{'a': 0.95, 'e': 0.0015414258188824663}",25,1,3.050221937965102,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 0}",1
26,False,"{'a': 0.95, 'e': 0.0014271442842871413}",30,0,27.404546413694842,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
27,False,"{'a': 0.95, 'e': 0.0013251176041873716}",20,11,17.83074358892388,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.95, 'e': 0.001233654083395016}",30,3,18.753001912034996,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 0}",1
29,False,"{'a': 0.95, 'e': 0.0011513441943469}",20,12,15.956304323499303,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
