trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-56.12856179265587,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-40.30951785720832,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-141.50474070233093,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-146.67373126914364,"{0: 16, 1: 7, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,1,-180.88694491343094,"{0: 16, 1: 5, 2: 4, 3: 1, 4: 3}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-143.67261209286093,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-88.58051137330284,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-46.03568747014234,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-53.01386261640766,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.04191471328824,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,13,-35.49319216630141,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-91.15579739688818,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-118.65916573776734,"{0: 14, 1: 1, 2: 9, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,6,-80.76192830108201,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 1}",1
15,False,"{'a': 0.5, 'e': 1.0}",35,0,-175.0491882003819,"{0: 22, 1: 3, 2: 6, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.05699952274918,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-117.65533242897186,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-88.65930393641716,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-47.349271333728936,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-140.68931602067877,"{0: 8, 1: 6, 2: 4, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-37.911724630788854,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-201.70048756171343,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 4}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-66.70840517031634,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,7,-126.86787819150268,"{0: 7, 1: 3, 2: 0, 3: 0, 4: 3}",1
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-215.2151235536421,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 4}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-133.0436990890981,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-221.58920808439765,"{0: 13, 1: 0, 2: 0, 3: 2, 4: 5}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-134.57420117492322,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-69.68869228709673,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-133.43999616149736,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
